Video Duration,Video Publish Time,Days Since Publish,Day,Month,Year,Day of Week,Revenue per 1000 Views (USD),Monetized Playbacks (Estimate),Playback-Based CPM (USD),CPM (USD),Ad Impressions,Estimated AdSense Revenue (USD),DoubleClick Revenue (USD),YouTube Ads Revenue (USD),Watch Page Ads Revenue (USD),YouTube Premium (USD),New Comments,Shares,Like Rate (%),Dislikes,Likes,Unsubscribes,New Subscribers,End Screen Click-Through Rate (%),End Screen Impressions,End Screen Clicks,Teaser Click-Through Rate (%),Teaser Impressions,Teaser Clicks,Card Click-Through Rate (%),Card Impressions,Card Clicks,Views per Playlist Start,Playlist Views,Playlist Watch Time (hours),Clip Watch Time (hours),Clip Views,YouTube Premium Watch Time (hours),YouTube Premium Views,Watched (Not Skipped) (%),Feed Impressions,Average View Percentage (%),Average View Duration,Views,Watch Time (hours),Subscribers,Estimated Revenue (USD),Impressions,Video Thumbnail CTR (%),Net_Subscriber_Change,Churn_Label,Publish_Weekday,Publish_Month,Publish_Season,Day_sin,Day_cos,Like_Rate,Comment_Rate,Share_Rate,Sub_Conversion_Rate,Unsub_Rate,CPM_Drift,Revenue_Efficiency,Ad_Density,Premium_Watch_Share,Engagement_Depth,Retention_Rate,Dropoff_Index,SubLoss_Weight,Predicted_Prob,Predicted_Label,Engagement_Tier,Revenue_Tier,Cohort,Engagement_Stability_Index,ESI_Tier
29,2016-08-17,5,17,8,2016,Wednesday,0.037,199.0,2.101,1.509,277.0,0.228,0.002,0.418,0.23,0.001,0.0,11.0,93.75,17.0,255.0,2.0,13.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0421,0.0,0.0,0.1595,25.0,0.0,0.0,79.64,23.0,6209.0,41.2094,11.0,0.231,37207.0,5.13,11.0,0,2,8,Summer,-0.2993631229733582,-0.9541392564000488,0.04106941529864807,0.0,0.0017716218364122697,0.0020937348975781367,0.0003221130611658672,0.5920000000000001,3.7204058564657665e-05,0.04461265897147261,0.0038704752142775154,0.7931031747920088,0.7964,100.41568679999999,1.4370320148049931e-05,0.2010471,0,High,Low,High_Low,1.0663579064101747,Medium
1238,2016-09-05,19,5,9,2016,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,33.0,96.04,44.0,1067.0,2.0,94.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,16.0,2.2387,0.0,0.0,4.434,46.0,0.0,0.0,34.5,427.0,27281.0,3241.5449,92.0,0.0,63050.0,5.73,92.0,1,0,9,Fall,0.8486442574947509,0.5289640103269624,0.039111469506575465,0.003555588136961406,0.0012096330775229526,0.0034456214935502287,7.331109560745167e-05,0.0001,0.0,0.0,0.00136786628694279,0.34491114422527347,0.345,100.02576193208431,0.0,0.9526595,1,Low,Low,Low_Low,686.5939214142447,High
161,2016-09-11,6,11,9,2016,Sunday,0.034,240.0,2.646,1.936,328.0,0.347,0.002,0.635,0.349,0.001,30.0,10.0,95.66,15.0,331.0,2.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.931,572.0,7.0865,0.0,0.0,0.454,37.0,0.0,0.0,37.82,61.0,10179.0,173.218,17.0,0.35,59353.0,6.95,17.0,1,6,9,Fall,0.7907757369376989,-0.6121059825476626,0.032517929037707116,0.002947244323659255,0.0009824147745530851,0.0018665880716508616,0.00019648295491061702,0.71,3.438451710935797e-05,0.03222320460534119,0.002620974574179671,0.3788819640445985,0.3782,99.8200062,6.33131045754684e-06,0.9586445,1,Low,Low,Low_Low,0.2017655145312296,Low
22,2016-09-18,7,18,9,2016,Sunday,0.031,736.0,1.181,0.76,1144.0,0.478,0.0,0.869,0.478,0.0,40.0,72.0,89.41,36.0,304.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0271,0.0,0.0,0.0766,29.0,0.0,0.0,63.55,14.0,15417.0,62.5967,30.0,0.478,56628.0,4.05,30.0,0,6,9,Fall,-0.4853019625310808,-0.8743466161445822,0.019718492560343456,0.002594538494782034,0.004670169290607661,0.0020107673334560762,6.486346236955084e-05,0.42100000000000004,3.10047350126453e-05,0.07420380095076617,0.0012237064855325464,0.6363633471075695,0.6355,99.86433110714286,4.813115450647663e-06,0.049951486,0,High,Low,High_Low,0.9604432527602775,Medium
19,2016-10-01,13,1,10,2016,Saturday,0.032,1908.0,0.543,0.362,2862.0,0.57,0.0,1.036,0.57,0.001,37.0,35.0,97.34,21.0,769.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0401,0.0,0.0,0.2323,52.0,0.0,0.0,94.66,18.0,17771.0,93.4514,9.0,0.571,69933.0,8.03,9.0,0,5,10,Fall,0.20129852008866006,0.9795299412524945,0.04327274771072379,0.0020820437780192202,0.0019695008710992625,0.000731528894979726,0.0002250858138399157,0.18100000000000005,3.2130999925647964e-05,0.16104889980245968,0.0024857837886020123,0.9473679224379356,0.9466,99.91894147777778,3.624982268005968e-05,0.14966057,0,High,Low,High_Low,4.948423510754733,High
832,2016-10-12,11,12,10,2016,Wednesday,0.03,1378.0,0.944,0.724,1797.0,0.707,0.009,1.301,0.716,0.007,60.0,17.0,95.71,33.0,736.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.1018,0.0,0.0,1.5012,33.0,0.0,0.0,43.37,361.0,23999.0,2411.141,47.0,0.723,63997.0,5.88,47.0,0,2,10,Fall,0.6513724827222223,-0.758758122692791,0.03066794448490856,0.002500104169965372,0.0007083628481568553,0.0019584149331395412,0.0001,0.21999999999999997,3.012625524808273e-05,0.07487811989046289,0.0006226097908724136,0.43389422555415597,0.4337,99.95523665844874,0.0,0.07866885,0,Medium,Low,Medium_Low,0.8549746734340639,Medium
809,2016-10-15,3,15,10,2016,Saturday,0.05,4802.0,1.373,1.14,5784.0,3.583,0.043,6.592,3.626,0.036,108.0,62.0,95.66,76.0,1674.0,8.0,494.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1111,28.0,2.8337,0.0,0.0,12.0184,173.0,0.0,0.0,36.96,299.0,73469.0,6117.5468,486.0,3.662,211931.0,10.4,486.0,1,5,10,Fall,0.10116832198743272,-0.994869323391895,0.02278512025170002,0.0014700077581741948,0.0008438933426555562,0.006723924375352335,0.00010888946356845887,0.2330000000000001,4.984415194846205e-05,0.07872708215999577,0.0019645783470515037,0.36959208443025854,0.3696,100.00214170434782,8.572549744711928e-06,0.9681654,1,Low,Medium,Low_Medium,0.5859975341127962,Medium
1146,2016-10-20,5,20,10,2016,Thursday,0.073,5301.0,0.72,0.592,6445.0,1.934,0.165,3.816,2.099,0.008,119.0,58.0,92.4,64.0,778.0,1.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6667,35.0,5.4917,0.0,0.0,2.7521,25.0,0.0,0.0,33.85,388.0,29055.0,3133.6338,219.0,2.107,59980.0,4.99,219.0,0,3,10,Fall,-0.7907757369376986,-0.6121059825476627,0.026776802606512887,0.00409568060433809,0.001996214076063943,0.007571846495414956,3.441748407006798e-05,0.128,7.251763893563324e-05,0.22182068483158812,0.0008782455662871469,0.3385689324732205,0.3385,99.9796400476804,7.634509886602755e-06,0.12830144,0,Low,Medium,Low_Medium,0.8951154376630351,Medium
123,2016-10-26,6,26,10,2016,Wednesday,0.047,1668.0,0.716,0.546,2185.0,0.573,0.084,1.194,0.657,0.0,95.0,13.0,97.05,16.0,527.0,1.0,124.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5565,1531.0,6.8776,0.0,0.0,0.2615,39.0,0.0,0.0,30.94,38.0,14095.0,150.1883,123.0,0.657,42704.0,7.8,123.0,0,2,10,Fall,-0.8486442574947509,0.5289640103269624,0.037389145060383724,0.0067399787110748646,0.0009223128762523499,0.008797445896560875,7.094714432710384e-05,0.16999999999999993,4.661227382290722e-05,0.1550195103547219,0.0017411474967658936,0.308943064313572,0.3094,100.14790287894738,1.0998191574653423e-05,0.1365355,0,Low,Low,Low_Low,0.5620418166866641,Medium
767,2016-10-29,3,29,10,2016,Saturday,0.105,2877.0,1.195,0.912,3768.0,1.742,0.148,3.437,1.89,0.008,98.0,19.0,97.3,17.0,612.0,4.0,102.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,11.0,1.5577,0.0,0.0,1.8905,25.0,0.0,0.0,48.35,371.0,18091.0,1865.9502,98.0,1.898,53469.0,3.75,98.0,1,5,10,Fall,-0.3943558551133187,0.9189578116202306,0.03382897571509094,0.005417058202743321,0.0010502459780828888,0.005638162619181824,0.0002211044164385029,0.28300000000000003,0.00010491404560006962,0.20828036028506972,0.0010131567229760114,0.48370273163360195,0.48350000000000004,99.95808755660377,4.605170751643147e-05,0.9222361,1,Medium,Medium,Medium_Medium,0.8257515668781934,Medium
